Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.748,0.023,3.2626901141574644e-308,0.762,0.761,0.731,0.746,0.705,0.773,0.756,0.777,0.754,0.71,Neurofilament light polypeptide
GFAP,0.782,0.023,1.40750429752277e-17,0.799,0.8,0.751,0.779,0.736,0.811,0.772,0.808,0.786,0.782,Glial fibrillary acidic protein
GDF15,0.801,0.014,8.268487565789336e-07,0.799,0.819,0.782,0.793,0.777,0.792,0.808,0.815,0.816,0.813,Growth/differentiation factor 15
BCAN,0.823,0.015,8.365906754445728e-13,0.818,0.836,0.807,0.817,0.794,0.831,0.815,0.844,0.84,0.826,Brevican core protein
LTBP2,0.828,0.014,8.107010507638491e-05,0.824,0.843,0.812,0.821,0.804,0.833,0.822,0.846,0.847,0.83,Latent-transforming growth factor beta-binding protein 2
EDA2R,0.828,0.013,0.9918689323684178,0.823,0.843,0.817,0.82,0.806,0.836,0.82,0.847,0.844,0.824,Tumor necrosis factor receptor superfamily member 27
NPTXR,0.832,0.013,0.001967129389855216,0.831,0.848,0.822,0.825,0.809,0.836,0.819,0.851,0.848,0.832,Neuronal pentraxin receptor
HPGDS,0.835,0.014,0.0072768589915901015,0.836,0.849,0.826,0.826,0.809,0.843,0.82,0.851,0.852,0.84,Hematopoietic prostaglandin D synthase
EGFR,0.835,0.014,0.9198387344693075,0.833,0.85,0.83,0.828,0.81,0.84,0.819,0.853,0.853,0.837,Epidermal growth factor receptor
KLK4,0.836,0.015,0.4604713529153752,0.836,0.848,0.833,0.824,0.812,0.841,0.814,0.853,0.857,0.84,Kallikrein-4
CST5,0.838,0.014,0.0384161005287106,0.84,0.846,0.836,0.83,0.811,0.839,0.821,0.857,0.859,0.841,Cystatin-D
CEACAM5,0.838,0.014,0.39413180652994045,0.835,0.849,0.84,0.832,0.812,0.841,0.822,0.859,0.858,0.836,Carcinoembryonic antigen-related cell adhesion molecule 5
CHI3L1,0.839,0.014,0.7257738104400399,0.833,0.848,0.841,0.833,0.813,0.843,0.821,0.857,0.859,0.839,Chitinase-3-like protein 1
ACTA2,0.839,0.014,0.9296617891374207,0.836,0.85,0.838,0.831,0.813,0.846,0.822,0.859,0.855,0.835,"Actin, aortic smooth muscle"
CDON,0.838,0.013,0.4096671113342517,0.836,0.851,0.84,0.831,0.81,0.843,0.825,0.852,0.856,0.84,Cell adhesion molecule-related/down-regulated by oncogenes
CD276,0.839,0.014,0.60567466033819,0.837,0.85,0.84,0.829,0.813,0.843,0.823,0.855,0.859,0.839,CD276 antigen
WNT9A,0.84,0.013,0.06709934717518984,0.838,0.854,0.839,0.828,0.814,0.843,0.827,0.857,0.858,0.84,Protein Wnt-9a
CALB1,0.84,0.013,0.7979820304834698,0.836,0.852,0.838,0.832,0.814,0.843,0.826,0.857,0.858,0.843,Calbindin
CNTN5,0.84,0.015,0.2914420250251329,0.829,0.853,0.842,0.831,0.813,0.846,0.826,0.859,0.859,0.847,Contactin-5
PSG1,0.84,0.014,0.6663028705885055,0.829,0.853,0.84,0.832,0.814,0.847,0.825,0.855,0.861,0.846,Pregnancy-specific beta-1-glycoprotein 1
ITGAM,0.839,0.014,0.023733222301585068,0.829,0.854,0.838,0.829,0.815,0.841,0.823,0.855,0.861,0.841,Integrin alpha-M
IGFBP2,0.84,0.015,0.0025967962007503735,0.828,0.858,0.837,0.833,0.816,0.844,0.824,0.857,0.861,0.845,Insulin-like growth factor-binding protein 2
PTGDS,0.839,0.013,0.14126643860447802,0.829,0.854,0.838,0.831,0.817,0.844,0.824,0.855,0.859,0.844,Prostaglandin-H2 D-isomerase
EPHA2,0.84,0.013,0.8214912278111687,0.831,0.856,0.835,0.831,0.818,0.842,0.826,0.856,0.858,0.846,Ephrin type-A receptor 2
AREG,0.84,0.013,0.2566280922383152,0.831,0.854,0.837,0.832,0.819,0.844,0.827,0.856,0.859,0.846,Amphiregulin
COL6A3,0.841,0.013,0.6138053687778171,0.831,0.854,0.839,0.83,0.818,0.845,0.828,0.856,0.861,0.845,Collagen alpha-3(VI) chain
LRRN1,0.84,0.012,0.13260778687482552,0.831,0.852,0.837,0.831,0.818,0.847,0.827,0.854,0.857,0.844,Leucine-rich repeat neuronal protein 1
OMG,0.84,0.013,0.803793553354265,0.829,0.853,0.837,0.83,0.819,0.843,0.827,0.855,0.859,0.845,Oligodendrocyte-myelin glycoprotein
GFRA1,0.84,0.014,0.27309798549128694,0.83,0.854,0.838,0.832,0.817,0.846,0.825,0.858,0.858,0.845,GDNF family receptor alpha-1
ITGAV,0.841,0.013,0.32175346003942595,0.832,0.853,0.838,0.831,0.817,0.844,0.828,0.857,0.858,0.849,Integrin alpha-V
