Pro_code,Pro_definition,HR,HR_Lower_CI,HR_Upper_CI,HR_p_val,p_val_fdr,p_val_bfi
AARSD1,Alanyl-tRNA editing protein Aarsd1,0.9727705632287214,0.9178739219160533,1.0309504890486132,0.3515984256369282,0.48656146254600313,1.0
ABHD14B,Protein ABHD14B,0.9408271536625498,0.8876934127671773,0.9971412655969907,0.03973581844070999,0.0934622224738886,1.0
ABL1,Tyrosine-protein kinase ABL1,0.9505586396130766,0.8968740570215488,1.0074566437385015,0.08735824145860502,0.16533649062605324,1.0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.9460165556342204,0.8918927840105757,1.0034247833127687,0.06485990985216199,0.13440516729987675,1.0
ACAN,Aggrecan core protein,0.9755844106532239,0.917693191175888,1.0371276058941357,0.42837892648854103,0.5595083858635351,1.0
ACE2,Angiotensin-converting enzyme 2,1.1085557555434835,1.0417871457249372,1.1796035957935007,0.0011476149181941886,0.0067700025214439425,1.0
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.9590364633775122,0.905931940679027,1.0152539024049219,0.15012416243177362,0.2539094215464564,1.0
ACP5,Tartrate-resistant acid phosphatase type 5,1.0799683031249938,1.0162148360341208,1.1477214210987148,0.013209256470754167,0.041030025937820264,1.0
ACP6,Lysophosphatidic acid phosphatase type 6,0.997862664649969,0.943857748812202,1.054957591602562,0.9399205818443117,0.961807571047519,1.0
ACTA2,"Actin, aortic smooth muscle",1.2152963508674948,1.1395485940226,1.296079191514107,2.8783820527743666e-09,1.3159602947527806e-07,4.211072943208899e-06
ACTN4,Alpha-actinin-4,1.035621997238366,0.9772950327159531,1.097430034186722,0.23663241639389448,0.35986821744726366,1.0
ACVRL1,Serine/threonine-protein kinase receptor R3,1.1914031733203112,1.1220832279633262,1.2650055593238936,1.0274353518024755e-08,4.0625349180730317e-07,1.5031379196870217e-05
ACY1,Aminoacylase-1,0.9075264853387127,0.8519348994350872,0.9667456071319109,0.002624718411389592,0.013061098761438685,1.0
ADA,Adenosine deaminase,0.9523568480892151,0.8984211050707058,1.009530565325538,0.10078040555243359,0.18430216665401292,1.0
