Pro_code,TotalGain_cv,Pro_definition
NEFL,0.1990501405079361,Neurofilament light polypeptide
GFAP,0.16521184570157393,Glial fibrillary acidic protein
GDF15,0.09449387384716842,Growth/differentiation factor 15
BCAN,0.07823009418684779,Brevican core protein
LTBP2,0.06739131053533617,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.03872061660395428,Neuronal pentraxin receptor
EDA2R,0.03783039246878152,Tumor necrosis factor receptor superfamily member 27
EGFR,0.024998469653460927,Epidermal growth factor receptor
HPGDS,0.018906021905651372,Hematopoietic prostaglandin D synthase
CEACAM5,0.016639111161458935,Carcinoembryonic antigen-related cell adhesion molecule 5
CST5,0.015577398248496091,Cystatin-D
CD276,0.014535605568320703,CD276 antigen
CHI3L1,0.01221242130039333,Chitinase-3-like protein 1
KLK4,0.012065737433106238,Kallikrein-4
CALB1,0.011839278876395649,Calbindin
WNT9A,0.011733911950370938,Protein Wnt-9a
ACTA2,0.010444392762270993,"Actin, aortic smooth muscle"
TNFRSF1A,0.010167868359182968,Tumor necrosis factor receptor superfamily member 1A
LRRN1,0.01012868616500119,Leucine-rich repeat neuronal protein 1
PSG1,0.008574990134647461,Pregnancy-specific beta-1-glycoprotein 1
LTBR,0.007838006362560126,Tumor necrosis factor receptor superfamily member 3
COL6A3,0.007152641119244442,Collagen alpha-3(VI) chain
ITGAM,0.006042675078550731,Integrin alpha-M
IL19,0.005934934930784255,Interleukin-19
AREG,0.0058914252037540835,Amphiregulin
GFRA1,0.005473519322264487,GDNF family receptor alpha-1
PVR,0.005135250504544055,Poliovirus receptor
ADAMTS8,0.005117844209829755,A disintegrin and metalloproteinase with thrombospondin motifs 8
EBI3_IL27,0.005081240988297416,Interleukin-27
IL4R,0.004966601780037611,Interleukin-4 receptor subunit alpha
IGFBP2,0.004943932969416808,Insulin-like growth factor-binding protein 2
PI3,0.004815320008749741,Elafin
PLAUR,0.004391925601112408,Urokinase plasminogen activator surface receptor
TNFRSF10B,0.004175453934051251,Tumor necrosis factor receptor superfamily member 10B
DSG2,0.004171228134922572,Desmoglein-2
ITGA11,0.004092682717019115,Integrin alpha-11
REG3A,0.003933285101117153,Regenerating islet-derived protein 3-alpha
EPHA2,0.003770957883440584,Ephrin type-A receptor 2
ITGAV,0.0035685400880738167,Integrin alpha-V
TIMP4,0.0034769184838687175,Metalloproteinase inhibitor 4
ADM,0.0032845545530824395,Pro-adrenomedullin
TFF3,0.003009459646134935,Trefoil factor 3
CD59,0.002783923581371718,CD59 glycoprotein
OMG,0.00274342998521323,Oligodendrocyte-myelin glycoprotein
NPDC1,0.0026118348705071515,Neural proliferation differentiation and control protein 1
WFDC2,0.002555546107120674,WAP four-disulfide core domain protein 2
C1QA,0.00239189154402642,Complement C1q subcomponent subunit A
IL6,0.0023693317809803114,Interleukin-6
ACVRL1,0.002048866908471079,Serine/threonine-protein kinase receptor R3
DSC2,0.001953255623327964,Desmocollin-2
SCARB2,0.001935499318964568,Lysosome membrane protein 2
CD302,0.001824637825763831,CD302 antigen
CSF1,0.0017156733572851993,Macrophage colony-stimulating factor 1
SPON1,0.0016000106450214878,Spondin-1
CLEC5A,0.001580580988867596,C-type lectin domain family 5 member A
CD300C,0.0015276143349138758,CMRF35-like molecule 6
TGFA,0.0015267265076480338,Protransforming growth factor alpha
ANGPTL4,0.0013041599578830917,Angiopoietin-related protein 4
SPP1,0.0012745658868678678,Osteopontin
SERPINA11,0.0012318847845543433,Serpin A11
