Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.743,0.027,9.59439609015e-313,0.759,0.759,0.712,0.755,0.695,0.789,0.745,0.756,0.751,0.711,Neurofilament light polypeptide
GFAP,0.778,0.027,2.0859325261263657e-18,0.797,0.807,0.739,0.79,0.73,0.815,0.757,0.789,0.787,0.774,Glial fibrillary acidic protein
GDF15,0.803,0.017,8.564636488613006e-11,0.801,0.826,0.774,0.808,0.778,0.824,0.794,0.801,0.817,0.811,Growth/differentiation factor 15
BCAN,0.827,0.018,4.352104357641344e-16,0.827,0.847,0.8,0.824,0.802,0.857,0.807,0.831,0.843,0.829,Brevican core protein
LTBP2,0.832,0.019,0.000292053962440733,0.823,0.854,0.802,0.83,0.813,0.863,0.812,0.833,0.856,0.835,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.837,0.019,0.00010177287948343734,0.834,0.856,0.805,0.837,0.821,0.865,0.813,0.84,0.859,0.838,Neuronal pentraxin receptor
EDA2R,0.835,0.018,0.08496728599059257,0.829,0.857,0.81,0.835,0.823,0.864,0.808,0.839,0.853,0.835,Tumor necrosis factor receptor superfamily member 27
EGFR,0.837,0.02,0.17584632801351888,0.826,0.861,0.816,0.837,0.815,0.869,0.805,0.846,0.857,0.836,Epidermal growth factor receptor
HPGDS,0.839,0.019,0.029926791601615287,0.832,0.859,0.819,0.838,0.818,0.871,0.806,0.846,0.857,0.841,Hematopoietic prostaglandin D synthase
CEACAM5,0.839,0.019,0.2632837515565019,0.826,0.862,0.824,0.842,0.818,0.868,0.807,0.85,0.857,0.841,Carcinoembryonic antigen-related cell adhesion molecule 5
CST5,0.842,0.017,0.01265581814907514,0.833,0.858,0.826,0.844,0.818,0.865,0.814,0.855,0.862,0.844,Cystatin-D
CD276,0.843,0.016,0.13178853569039198,0.835,0.859,0.831,0.843,0.822,0.867,0.816,0.853,0.859,0.843,CD276 antigen
CHI3L1,0.843,0.018,0.5056644562174677,0.834,0.859,0.832,0.842,0.819,0.87,0.813,0.855,0.861,0.841,Chitinase-3-like protein 1
KLK4,0.842,0.017,0.42768694536691587,0.833,0.857,0.833,0.84,0.821,0.868,0.812,0.85,0.862,0.843,Kallikrein-4
CALB1,0.843,0.018,0.12014920702923276,0.831,0.858,0.834,0.842,0.821,0.869,0.811,0.851,0.865,0.846,Calbindin
WNT9A,0.843,0.017,0.8303464073986625,0.834,0.858,0.832,0.843,0.821,0.867,0.813,0.855,0.861,0.845,Protein Wnt-9a
ACTA2,0.843,0.017,0.7226424631923898,0.834,0.861,0.833,0.843,0.821,0.869,0.812,0.853,0.858,0.846,"Actin, aortic smooth muscle"
TNFRSF1A,0.845,0.017,0.005469376052980053,0.836,0.868,0.831,0.844,0.825,0.869,0.815,0.854,0.861,0.848,Tumor necrosis factor receptor superfamily member 1A
LRRN1,0.845,0.016,0.5570706671405268,0.834,0.865,0.834,0.845,0.825,0.865,0.815,0.854,0.861,0.849,Leucine-rich repeat neuronal protein 1
PSG1,0.846,0.017,0.02314779276671977,0.835,0.865,0.832,0.847,0.827,0.871,0.817,0.855,0.863,0.848,Pregnancy-specific beta-1-glycoprotein 1
LTBR,0.845,0.017,0.15273270632026523,0.836,0.865,0.832,0.845,0.826,0.872,0.815,0.851,0.861,0.85,Tumor necrosis factor receptor superfamily member 3
COL6A3,0.846,0.017,0.05447197029381366,0.837,0.866,0.834,0.846,0.828,0.873,0.814,0.853,0.862,0.85,Collagen alpha-3(VI) chain
ITGAM,0.846,0.017,0.3588305350164318,0.836,0.865,0.834,0.845,0.829,0.872,0.816,0.852,0.861,0.848,Integrin alpha-M
IL19,0.846,0.017,0.918616614146044,0.837,0.865,0.832,0.844,0.828,0.871,0.817,0.851,0.864,0.848,Interleukin-19
AREG,0.846,0.017,0.8704303632438865,0.835,0.867,0.832,0.843,0.827,0.871,0.818,0.855,0.862,0.847,Amphiregulin
GFRA1,0.846,0.016,0.8095195807652358,0.836,0.865,0.833,0.844,0.83,0.867,0.817,0.854,0.861,0.852,GDNF family receptor alpha-1
PVR,0.845,0.016,0.053826974415183415,0.835,0.863,0.831,0.844,0.828,0.87,0.818,0.853,0.859,0.847,Poliovirus receptor
ADAMTS8,0.845,0.016,0.2952665887953185,0.835,0.865,0.834,0.845,0.825,0.868,0.819,0.852,0.861,0.849,A disintegrin and metalloproteinase with thrombospondin motifs 8
EBI3_IL27,0.846,0.018,0.9320511854726247,0.835,0.867,0.831,0.845,0.825,0.871,0.815,0.855,0.861,0.85,Interleukin-27
IL4R,0.846,0.017,0.8127512254974137,0.841,0.865,0.831,0.844,0.825,0.871,0.815,0.854,0.858,0.851,Interleukin-4 receptor subunit alpha
