Pro_code,Pro_definition,HR,HR_Lower_CI,HR_Upper_CI,HR_p_val,p_val_fdr,p_val_bfi
AARSD1,Alanyl-tRNA editing protein Aarsd1,0.977497752650779,0.924583805210614,1.0334399662339602,0.422820768197255,0.5657336719919028,1.0
ABHD14B,Protein ABHD14B,0.9458196867877617,0.8945005326537702,1.0000831159499806,0.05034229955303899,0.123161846565378,1.0
ABL1,Tyrosine-protein kinase ABL1,0.9589237427881938,0.9070607847451502,1.0137520659558361,0.13927158676730247,0.25154855733402903,1.0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.9681549494604194,0.9148216414074266,1.0245975431043162,0.2629546170257746,0.4001818790360354,1.0
ACAN,Aggrecan core protein,0.9731677274590029,0.9174681133830351,1.0322488726889767,0.3657416474852464,0.5092639612960208,1.0
ACE2,Angiotensin-converting enzyme 2,1.15313496528914,1.0867300376554365,1.2235975836659383,2.495894617199922e-06,4.19711933903849e-05,0.003651493824963486
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.9757878919193129,0.9240949058159097,1.0303725342751953,0.37746760989119843,0.5204854978989852,1.0
ACP5,Tartrate-resistant acid phosphatase type 5,1.0469710710408535,0.9871607348230189,1.1104052105485667,0.12616561917062236,0.23423896046525444,1.0
ACP6,Lysophosphatidic acid phosphatase type 6,0.9852643753199554,0.9340136145771156,1.0393273439746777,0.5859743567092548,0.7090822860757979,1.0
ACTA2,"Actin, aortic smooth muscle",1.197644600160418,1.1254685687059212,1.2744492633345108,1.2924142399296653e-08,4.848210341069488e-07,1.8908020330171004e-05
ACTN4,Alpha-actinin-4,1.0355945995687468,0.9797171385162013,1.0946589913494895,0.21649986941586893,0.34991163686322874,1.0
ACVRL1,Serine/threonine-protein kinase receptor R3,1.1779133537082873,1.1119652946813654,1.247772637761944,2.5436395633397643e-08,8.860344478966845e-07,3.7213446811660754e-05
ACY1,Aminoacylase-1,0.9237380048049111,0.8693619867902223,0.9815150817341384,0.010385443200268433,0.03977461623558303,1.0
ADA,Adenosine deaminase,0.9622142470457905,0.9096398255436596,1.0178273105671753,0.17908108397179223,0.3064276325739556,1.0
ADA2,Adenosine deaminase 2,1.1501530632712402,1.0871987058784296,1.21675279946492,1.1105956143739248e-06,2.0830786972167332e-05,0.001624801383829052
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1.0960734862437378,1.0368396650787561,1.1586912882574252,0.001211137453899747,0.007232220796144203,1.0
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,0.9770084566215581,0.9249052969606102,1.0320467700280576,0.40549326435638433,0.5462584215040426,1.0
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,1.0046607362876538,0.9508270127757432,1.0615424062169643,0.8685638101635815,0.9168173551726695,1.0
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,1.1036954227834332,1.044432633480609,1.1663208781724812,0.00045859361821428486,0.0032569051623664988,0.6709224634474987
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,1.0107723457022397,0.9569705646724324,1.0675989132289758,0.7010231088122881,0.7993739736495539,1.0
ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,1.029167129320129,0.9728848319890457,1.088705410184626,0.31637119161392496,0.4564606048630889,1.0
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,1.0430547993375494,0.982007560843407,1.107897085320491,0.1707123585250767,0.2959149058319754,1.0
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,0.8795820666867541,0.832239219147563,0.9296180644182839,5.484631708673356e-06,8.627974397622708e-05,0.00802401618978912
ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,0.944721881155127,0.8938031648780022,0.9985413654863281,0.044261996264724934,0.11182340689522255,1.0
