Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
GFAP,0.711,0.032,1.8768558253356226e-285,0.733,0.719,0.675,0.725,0.65,0.729,0.677,0.721,0.717,0.766,Glial fibrillary acidic protein
NEFL,0.78,0.028,4.1151095426800175e-35,0.801,0.8,0.745,0.788,0.728,0.817,0.751,0.803,0.779,0.788,Neurofilament light polypeptide
GDF15,0.801,0.02,3.5178166394171426e-09,0.802,0.826,0.773,0.799,0.777,0.823,0.774,0.828,0.807,0.796,Growth/differentiation factor 15
BCAN,0.822,0.017,1.995278273276212e-14,0.827,0.839,0.8,0.83,0.797,0.843,0.793,0.831,0.834,0.83,Brevican core protein
LTBP2,0.827,0.016,0.0005038737722654602,0.826,0.845,0.807,0.831,0.806,0.845,0.801,0.834,0.842,0.831,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.83,0.016,0.003798090773291454,0.831,0.847,0.811,0.834,0.814,0.846,0.803,0.838,0.851,0.83,Neuronal pentraxin receptor
EDA2R,0.831,0.016,0.41489220637823754,0.832,0.848,0.817,0.836,0.816,0.847,0.798,0.838,0.851,0.828,Tumor necrosis factor receptor superfamily member 27
EGFR,0.833,0.018,0.07449952847310759,0.83,0.85,0.818,0.839,0.816,0.851,0.795,0.845,0.855,0.83,Epidermal growth factor receptor
HPGDS,0.834,0.017,0.04866223014345253,0.832,0.849,0.823,0.838,0.818,0.854,0.796,0.846,0.853,0.834,Hematopoietic prostaglandin D synthase
CST5,0.837,0.016,0.004435278993099285,0.841,0.846,0.827,0.842,0.815,0.855,0.804,0.848,0.857,0.837,Cystatin-D
CEACAM5,0.838,0.016,0.3963554740233502,0.837,0.848,0.831,0.844,0.817,0.853,0.805,0.85,0.857,0.835,Carcinoembryonic antigen-related cell adhesion molecule 5
KLK4,0.837,0.015,0.35159327270361773,0.835,0.846,0.831,0.842,0.817,0.853,0.806,0.849,0.857,0.837,Kallikrein-4
CD276,0.838,0.015,0.36405462950545453,0.834,0.849,0.833,0.84,0.82,0.853,0.805,0.849,0.857,0.838,CD276 antigen
ACTA2,0.837,0.014,0.44657404603249584,0.835,0.85,0.834,0.839,0.82,0.854,0.807,0.846,0.851,0.837,"Actin, aortic smooth muscle"
CHI3L1,0.838,0.016,0.7464843887128946,0.838,0.849,0.837,0.836,0.816,0.856,0.804,0.847,0.854,0.838,Chitinase-3-like protein 1
CALB1,0.838,0.015,0.5642469902197258,0.835,0.852,0.832,0.839,0.816,0.856,0.807,0.849,0.852,0.839,Calbindin
PSG1,0.838,0.015,0.6117382831535196,0.833,0.85,0.833,0.838,0.817,0.856,0.806,0.849,0.853,0.84,Pregnancy-specific beta-1-glycoprotein 1
IL1RL1,0.838,0.016,0.1751301325572588,0.839,0.85,0.835,0.838,0.818,0.858,0.804,0.848,0.854,0.838,Interleukin-1 receptor-like 1
WNT9A,0.838,0.015,0.20425062044267156,0.836,0.85,0.835,0.839,0.817,0.854,0.805,0.848,0.853,0.84,Protein Wnt-9a
GFRA1,0.839,0.015,0.06834319566872264,0.839,0.853,0.834,0.84,0.82,0.854,0.805,0.848,0.855,0.84,GDNF family receptor alpha-1
LRRN1,0.84,0.015,0.07817298956860841,0.841,0.851,0.835,0.84,0.82,0.856,0.807,0.85,0.858,0.842,Leucine-rich repeat neuronal protein 1
EPHA2,0.84,0.015,0.6856021111535713,0.839,0.851,0.838,0.841,0.82,0.854,0.807,0.85,0.857,0.844,Ephrin type-A receptor 2
ITGAM,0.839,0.014,0.02686400532912358,0.839,0.85,0.835,0.838,0.821,0.853,0.807,0.851,0.853,0.841,Integrin alpha-M
LDLR,0.84,0.014,0.03058632936143431,0.837,0.852,0.836,0.839,0.825,0.855,0.809,0.85,0.854,0.842,Low-density lipoprotein receptor
IGFBP2,0.839,0.014,0.09898995726092662,0.839,0.853,0.835,0.836,0.823,0.855,0.808,0.848,0.855,0.841,Insulin-like growth factor-binding protein 2
ITGA11,0.839,0.014,0.47520342751481026,0.838,0.85,0.835,0.84,0.823,0.853,0.806,0.85,0.855,0.844,Integrin alpha-11
GPC5,0.838,0.014,0.018823554605305725,0.837,0.851,0.832,0.838,0.82,0.853,0.808,0.85,0.852,0.842,Glypican-5
PI3,0.84,0.015,0.0031091309123696194,0.841,0.854,0.831,0.839,0.823,0.855,0.807,0.851,0.853,0.842,Elafin
ITGAV,0.839,0.015,0.19005922401167546,0.839,0.852,0.832,0.837,0.822,0.853,0.806,0.85,0.856,0.842,Integrin alpha-V
WFDC2,0.839,0.014,0.403625970817709,0.841,0.851,0.831,0.839,0.822,0.854,0.808,0.851,0.855,0.842,WAP four-disulfide core domain protein 2
