Pro_code,TotalGain_cv,Pro_definition
NEFL,0.20186921601608415,Neurofilament light polypeptide
GFAP,0.1573937191448134,Glial fibrillary acidic protein
GDF15,0.10177763768981093,Growth/differentiation factor 15
BCAN,0.079040746375569,Brevican core protein
LTBP2,0.0620703333873318,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.046006163535860733,Neuronal pentraxin receptor
EDA2R,0.028493572376585983,Tumor necrosis factor receptor superfamily member 27
HPGDS,0.02550878074517504,Hematopoietic prostaglandin D synthase
EGFR,0.025226526134511366,Epidermal growth factor receptor
NTproBNP,0.02255041593965929,N-terminal prohormone of brain natriuretic peptide
CEACAM5,0.015149942797065608,Carcinoembryonic antigen-related cell adhesion molecule 5
CST5,0.014817059793817186,Cystatin-D
CHI3L1,0.014763874995882567,Chitinase-3-like protein 1
KLK4,0.014352646531901514,Kallikrein-4
CD276,0.013482938113333462,CD276 antigen
ACTA2,0.012174399502249023,"Actin, aortic smooth muscle"
WNT9A,0.011873515502482623,Protein Wnt-9a
CALB1,0.011471884112038184,Calbindin
TNFRSF1A,0.011255043834167415,Tumor necrosis factor receptor superfamily member 1A
ITGA11,0.008307772489509731,Integrin alpha-11
TNFRSF11B,0.008259893622356964,Tumor necrosis factor receptor superfamily member 11B
PSG1,0.007827063293203703,Pregnancy-specific beta-1-glycoprotein 1
LRRN1,0.007048433837022708,Leucine-rich repeat neuronal protein 1
OMG,0.006843691488651959,Oligodendrocyte-myelin glycoprotein
DPP4,0.006811114327963305,Dipeptidyl peptidase 4
AREG,0.006132444832608586,Amphiregulin
ITGAM,0.0059585059321410954,Integrin alpha-M
EPHA2,0.005457329612240265,Ephrin type-A receptor 2
IGFBP2,0.005168273492374143,Insulin-like growth factor-binding protein 2
PI3,0.005062703156297361,Elafin
GFRA1,0.004534684583927729,GDNF family receptor alpha-1
IL4R,0.004212173255770075,Interleukin-4 receptor subunit alpha
ITGAV,0.0040651938272978656,Integrin alpha-V
EBI3_IL27,0.004017290432015047,Interleukin-27
REG3A,0.003875340012712216,Regenerating islet-derived protein 3-alpha
WFDC2,0.003676112136837193,WAP four-disulfide core domain protein 2
CLEC5A,0.0035963593816471704,C-type lectin domain family 5 member A
PLAUR,0.003543946720619109,Urokinase plasminogen activator surface receptor
TNFRSF10B,0.003267080258797872,Tumor necrosis factor receptor superfamily member 10B
CSF1,0.0031625977932684857,Macrophage colony-stimulating factor 1
ACVRL1,0.002954353443087885,Serine/threonine-protein kinase receptor R3
TGFA,0.0028656834434625683,Protransforming growth factor alpha
TIMP4,0.00272220490485985,Metalloproteinase inhibitor 4
TFF3,0.002700182788168612,Trefoil factor 3
CES3,0.0023401929431768388,Carboxylesterase 3
SCARB2,0.0019651869217655973,Lysosome membrane protein 2
SPON1,0.0016676698891069247,Spondin-1
ADM,0.0015461902476539276,Pro-adrenomedullin
SERPINA11,0.0011319144031161654,Serpin A11
