Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.748,0.028,5.9292646024e-313,0.772,0.758,0.707,0.757,0.706,0.789,0.745,0.779,0.749,0.714,Neurofilament light polypeptide
GFAP,0.783,0.028,2.735658750567614e-19,0.805,0.809,0.737,0.797,0.734,0.814,0.762,0.802,0.787,0.782,Glial fibrillary acidic protein
GDF15,0.803,0.016,5.0387489253671935e-08,0.8,0.821,0.771,0.815,0.78,0.801,0.795,0.817,0.815,0.813,Growth/differentiation factor 15
BCAN,0.827,0.016,7.395808651796091e-17,0.834,0.843,0.798,0.833,0.798,0.838,0.815,0.834,0.843,0.832,Brevican core protein
LTBP2,0.833,0.015,2.095667918376794e-05,0.833,0.852,0.805,0.836,0.811,0.845,0.823,0.841,0.852,0.831,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.838,0.015,0.0004392936378990416,0.842,0.853,0.812,0.839,0.82,0.847,0.823,0.846,0.863,0.831,Neuronal pentraxin receptor
EDA2R,0.837,0.015,0.6943478292163389,0.841,0.854,0.814,0.836,0.821,0.845,0.818,0.847,0.863,0.831,Tumor necrosis factor receptor superfamily member 27
HPGDS,0.84,0.015,0.0035909963673865287,0.842,0.854,0.823,0.838,0.822,0.853,0.816,0.851,0.865,0.837,Hematopoietic prostaglandin D synthase
EGFR,0.841,0.016,0.19829150218438615,0.845,0.856,0.826,0.842,0.822,0.855,0.811,0.856,0.864,0.835,Epidermal growth factor receptor
NTproBNP,0.843,0.018,0.035825517606192965,0.847,0.857,0.828,0.845,0.823,0.859,0.813,0.858,0.871,0.833,N-terminal prohormone of brain natriuretic peptide
CEACAM5,0.844,0.017,0.1955511405399132,0.842,0.859,0.834,0.848,0.823,0.856,0.815,0.862,0.869,0.833,Carcinoembryonic antigen-related cell adhesion molecule 5
CST5,0.846,0.016,0.04683740865606466,0.848,0.854,0.834,0.848,0.826,0.857,0.823,0.865,0.871,0.83,Cystatin-D
CHI3L1,0.845,0.016,0.22550542696870451,0.848,0.856,0.833,0.849,0.822,0.859,0.821,0.862,0.869,0.832,Chitinase-3-like protein 1
KLK4,0.845,0.016,0.7601600497323354,0.849,0.854,0.835,0.845,0.825,0.858,0.819,0.859,0.871,0.834,Kallikrein-4
CD276,0.844,0.015,0.44359460135048046,0.85,0.853,0.837,0.841,0.823,0.859,0.819,0.859,0.868,0.834,CD276 antigen
ACTA2,0.844,0.015,0.22197016832461247,0.851,0.852,0.836,0.844,0.821,0.857,0.819,0.858,0.866,0.834,"Actin, aortic smooth muscle"
WNT9A,0.844,0.014,0.6565341626905706,0.852,0.852,0.836,0.842,0.823,0.859,0.82,0.858,0.862,0.835,Protein Wnt-9a
CALB1,0.845,0.015,0.07645275328201584,0.849,0.854,0.837,0.844,0.825,0.861,0.819,0.859,0.866,0.835,Calbindin
TNFRSF1A,0.846,0.014,0.0343911296716943,0.85,0.858,0.834,0.845,0.827,0.86,0.824,0.861,0.867,0.838,Tumor necrosis factor receptor superfamily member 1A
ITGA11,0.846,0.014,0.7592524293552986,0.851,0.856,0.833,0.846,0.829,0.861,0.823,0.859,0.866,0.838,Integrin alpha-11
TNFRSF11B,0.846,0.015,0.9287265520310275,0.852,0.856,0.834,0.846,0.827,0.861,0.822,0.86,0.867,0.837,Tumor necrosis factor receptor superfamily member 11B
PSG1,0.846,0.015,0.863365362422167,0.854,0.856,0.832,0.845,0.825,0.862,0.822,0.861,0.867,0.837,Pregnancy-specific beta-1-glycoprotein 1
LRRN1,0.846,0.015,0.41382858411820767,0.852,0.857,0.832,0.846,0.825,0.861,0.823,0.859,0.864,0.838,Leucine-rich repeat neuronal protein 1
OMG,0.846,0.014,0.6273630742673945,0.851,0.858,0.831,0.845,0.828,0.862,0.822,0.856,0.865,0.837,Oligodendrocyte-myelin glycoprotein
DPP4,0.845,0.014,0.897011313119518,0.849,0.858,0.834,0.843,0.826,0.862,0.823,0.856,0.863,0.838,Dipeptidyl peptidase 4
AREG,0.845,0.015,0.5518868685037172,0.852,0.855,0.832,0.846,0.826,0.861,0.82,0.859,0.866,0.838,Amphiregulin
ITGAM,0.846,0.015,0.9451919867282805,0.851,0.855,0.832,0.843,0.828,0.863,0.82,0.859,0.868,0.838,Integrin alpha-M
EPHA2,0.846,0.014,0.6350051348864799,0.851,0.857,0.834,0.843,0.83,0.862,0.821,0.858,0.865,0.837,Ephrin type-A receptor 2
IGFBP2,0.846,0.015,0.6994017205672574,0.853,0.857,0.834,0.84,0.826,0.862,0.821,0.86,0.867,0.838,Insulin-like growth factor-binding protein 2
PI3,0.846,0.015,0.2569282632031853,0.853,0.856,0.834,0.844,0.828,0.861,0.82,0.86,0.867,0.838,Elafin
