Pro_code,TotalGain_cv,Pro_definition
NEFL,0.20022815001311944,Neurofilament light polypeptide
GFAP,0.15700211319014465,Glial fibrillary acidic protein
GDF15,0.08491904728894721,Growth/differentiation factor 15
BCAN,0.07167860098114377,Brevican core protein
EDA2R,0.059762732678430984,Tumor necrosis factor receptor superfamily member 27
NPTXR,0.04212260833549388,Neuronal pentraxin receptor
LTBP2,0.03961765071434503,Latent-transforming growth factor beta-binding protein 2
NTproBNP,0.02532132530256355,N-terminal prohormone of brain natriuretic peptide
HPGDS,0.023024398557224005,Hematopoietic prostaglandin D synthase
CDON,0.020150646509986835,Cell adhesion molecule-related/down-regulated by oncogenes
CST5,0.019223722768932746,Cystatin-D
CEACAM5,0.017632471074614686,Carcinoembryonic antigen-related cell adhesion molecule 5
EGFR,0.015615265823773924,Epidermal growth factor receptor
CALB1,0.015269418229836415,Calbindin
ACTA2,0.013522590610189563,"Actin, aortic smooth muscle"
CD276,0.012041597561685932,CD276 antigen
PSG1,0.010571524116854934,Pregnancy-specific beta-1-glycoprotein 1
KLK4,0.009718662335838424,Kallikrein-4
EPHA2,0.008308109782198876,Ephrin type-A receptor 2
PI3,0.008213963873346912,Elafin
EBI3_IL27,0.007424258486220229,Interleukin-27
CD59,0.007241305178999127,CD59 glycoprotein
OMG,0.006415008848635045,Oligodendrocyte-myelin glycoprotein
AREG,0.006315520660656734,Amphiregulin
ADGRG2,0.006221992352586014,Adhesion G-protein coupled receptor G2
ADAMTS8,0.0061509841622845425,A disintegrin and metalloproteinase with thrombospondin motifs 8
WNT9A,0.005786503783159234,Protein Wnt-9a
DPP4,0.005683265532055631,Dipeptidyl peptidase 4
IGFBP4,0.005414477765758714,Insulin-like growth factor-binding protein 4
IGFBP2,0.005410307019973414,Insulin-like growth factor-binding protein 2
LRRN1,0.0050432286030866105,Leucine-rich repeat neuronal protein 1
CSF1,0.004932005840276779,Macrophage colony-stimulating factor 1
GFRA1,0.004658286221137166,GDNF family receptor alpha-1
WFDC2,0.004531106243848555,WAP four-disulfide core domain protein 2
ITGAV,0.004437756398240152,Integrin alpha-V
REG3A,0.004381571761202176,Regenerating islet-derived protein 3-alpha
FAP,0.004273194491256261,Prolyl endopeptidase FAP
ACVRL1,0.0039214690918764564,Serine/threonine-protein kinase receptor R3
ITGAM,0.0038835811363581822,Integrin alpha-M
ITGA11,0.0034989309275474134,Integrin alpha-11
TIMP4,0.003241031857146822,Metalloproteinase inhibitor 4
C1QA,0.0032107106198160065,Complement C1q subcomponent subunit A
SCARB2,0.0031725724996447355,Lysosome membrane protein 2
CLEC5A,0.003028455115117912,C-type lectin domain family 5 member A
CD302,0.003015836363405206,CD302 antigen
SERPINA11,0.002799528569110414,Serpin A11
TGFA,0.0026874209504692183,Protransforming growth factor alpha
COL18A1,0.002599151624908855,Collagen alpha-1(XVIII) chain
SPON1,0.0025418200856545956,Spondin-1
TFF3,0.002536806612412308,Trefoil factor 3
ANGPTL4,0.002500992867087631,Angiopoietin-related protein 4
ADM,0.002353833001430465,Pro-adrenomedullin
TNFRSF10B,0.0023472109716173163,Tumor necrosis factor receptor superfamily member 10B
PLAUR,0.0022835095402898345,Urokinase plasminogen activator surface receptor
SPP1,0.0021117650680586124,Osteopontin
