Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.744,0.026,1.586e-321,0.77,0.754,0.715,0.752,0.698,0.789,0.742,0.753,0.754,0.715,Neurofilament light polypeptide
GFAP,0.78,0.026,1.2791732194612363e-19,0.81,0.805,0.746,0.786,0.729,0.811,0.759,0.791,0.785,0.778,Glial fibrillary acidic protein
GDF15,0.802,0.018,1.006975937739293e-08,0.81,0.828,0.767,0.808,0.774,0.799,0.796,0.808,0.813,0.812,Growth/differentiation factor 15
BCAN,0.823,0.019,3.539421115213796e-13,0.831,0.847,0.79,0.83,0.793,0.84,0.803,0.826,0.839,0.829,Brevican core protein
LTBP2,0.827,0.017,0.002510868878184753,0.831,0.85,0.797,0.83,0.804,0.843,0.809,0.83,0.847,0.827,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.832,0.017,5.85134469510701e-05,0.84,0.854,0.802,0.838,0.814,0.846,0.811,0.837,0.853,0.829,Neuronal pentraxin receptor
EDA2R,0.833,0.017,0.4027939145282767,0.839,0.855,0.806,0.838,0.815,0.85,0.808,0.838,0.854,0.828,Tumor necrosis factor receptor superfamily member 27
EGFR,0.834,0.019,0.25238193534201203,0.838,0.854,0.815,0.838,0.812,0.852,0.8,0.845,0.858,0.831,Epidermal growth factor receptor
HPGDS,0.837,0.018,0.006914444988090251,0.845,0.855,0.817,0.838,0.819,0.854,0.8,0.846,0.858,0.835,Hematopoietic prostaglandin D synthase
CD276,0.837,0.018,0.5404018966042862,0.845,0.854,0.819,0.836,0.817,0.853,0.802,0.849,0.859,0.838,CD276 antigen
KLK4,0.837,0.018,0.47526633502597937,0.843,0.854,0.821,0.835,0.816,0.853,0.8,0.848,0.859,0.84,Kallikrein-4
CST5,0.839,0.016,0.001103708218052044,0.847,0.852,0.826,0.838,0.818,0.853,0.809,0.848,0.862,0.841,Cystatin-D
CDON,0.84,0.017,0.7172595023500846,0.851,0.853,0.825,0.836,0.815,0.854,0.811,0.846,0.864,0.841,Cell adhesion molecule-related/down-regulated by oncogenes
WNT9A,0.84,0.016,0.7066516608465603,0.85,0.854,0.826,0.839,0.813,0.849,0.814,0.848,0.863,0.84,Protein Wnt-9a
CEACAM5,0.84,0.016,0.8227922986891247,0.846,0.853,0.83,0.838,0.814,0.85,0.813,0.848,0.865,0.841,Carcinoembryonic antigen-related cell adhesion molecule 5
PSG1,0.84,0.016,0.7761832244095498,0.844,0.855,0.826,0.839,0.817,0.849,0.812,0.847,0.864,0.844,Pregnancy-specific beta-1-glycoprotein 1
CNTN5,0.841,0.016,0.06937909287947536,0.839,0.859,0.826,0.841,0.821,0.852,0.812,0.849,0.865,0.844,Contactin-5
ACTA2,0.84,0.015,0.26412313230111784,0.838,0.857,0.828,0.84,0.82,0.855,0.814,0.844,0.864,0.842,"Actin, aortic smooth muscle"
CHI3L1,0.839,0.017,0.30031973988712957,0.837,0.857,0.828,0.84,0.816,0.853,0.809,0.846,0.863,0.845,Chitinase-3-like protein 1
IL1RL1,0.841,0.016,0.03301024854046531,0.839,0.859,0.828,0.841,0.819,0.858,0.811,0.846,0.862,0.844,Interleukin-1 receptor-like 1
CALB1,0.841,0.016,0.8823284553815719,0.839,0.859,0.828,0.842,0.819,0.856,0.812,0.849,0.862,0.842,Calbindin
TNFRSF11B,0.84,0.017,0.704455357135456,0.838,0.861,0.829,0.843,0.819,0.855,0.808,0.848,0.863,0.841,Tumor necrosis factor receptor superfamily member 11B
MMP3,0.841,0.018,0.3923192606992108,0.84,0.859,0.829,0.841,0.817,0.859,0.808,0.849,0.865,0.844,Stromelysin-1
LRRN1,0.842,0.017,0.33607746264203736,0.84,0.862,0.831,0.841,0.818,0.859,0.809,0.847,0.863,0.846,Leucine-rich repeat neuronal protein 1
ITGAM,0.841,0.016,0.7114775315689742,0.84,0.859,0.832,0.841,0.82,0.857,0.81,0.847,0.864,0.845,Integrin alpha-M
CD59,0.842,0.016,0.6256764227415167,0.842,0.861,0.832,0.84,0.82,0.856,0.811,0.848,0.863,0.845,CD59 glycoprotein
ITGA11,0.842,0.016,0.9250783103198096,0.842,0.859,0.83,0.841,0.82,0.858,0.812,0.847,0.862,0.847,Integrin alpha-11
GFRA1,0.842,0.016,0.8106739714520984,0.845,0.86,0.83,0.843,0.82,0.857,0.81,0.849,0.86,0.846,GDNF family receptor alpha-1
EPHA2,0.842,0.015,0.4565392119478005,0.843,0.86,0.834,0.841,0.823,0.856,0.811,0.847,0.863,0.846,Ephrin type-A receptor 2
IGFBP2,0.843,0.016,0.432598638441637,0.844,0.86,0.832,0.841,0.821,0.856,0.812,0.85,0.864,0.847,Insulin-like growth factor-binding protein 2
