Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.746,0.026,0.0,0.755,0.763,0.72,0.753,0.698,0.788,0.746,0.767,0.752,0.716,Neurofilament light polypeptide
GFAP,0.781,0.026,9.509984895612211e-20,0.797,0.805,0.746,0.79,0.728,0.817,0.761,0.797,0.787,0.779,Glial fibrillary acidic protein
GDF15,0.803,0.016,1.0076924473753857e-09,0.802,0.822,0.773,0.809,0.773,0.815,0.799,0.811,0.817,0.812,Growth/differentiation factor 15
BCAN,0.826,0.016,6.759554348897263e-16,0.825,0.843,0.799,0.83,0.798,0.843,0.811,0.834,0.844,0.828,Brevican core protein
EDA2R,0.826,0.016,0.6703363840278801,0.823,0.843,0.805,0.83,0.799,0.845,0.808,0.837,0.84,0.828,Tumor necrosis factor receptor superfamily member 27
LTBP2,0.83,0.015,0.00020060240080118944,0.825,0.851,0.809,0.831,0.811,0.849,0.811,0.841,0.846,0.827,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.834,0.016,0.0031749816916886173,0.835,0.853,0.81,0.835,0.816,0.852,0.81,0.843,0.855,0.83,Neuronal pentraxin receptor
NTproBNP,0.835,0.016,0.12846407821646533,0.833,0.854,0.814,0.839,0.814,0.851,0.813,0.846,0.859,0.831,N-terminal prohormone of brain natriuretic peptide
EGFR,0.837,0.017,0.16582239269672194,0.833,0.853,0.819,0.841,0.813,0.853,0.812,0.852,0.86,0.831,Epidermal growth factor receptor
HPGDS,0.84,0.016,0.0009401461991902924,0.84,0.851,0.825,0.841,0.819,0.858,0.812,0.855,0.862,0.837,Hematopoietic prostaglandin D synthase
CST5,0.842,0.015,0.03630185274180709,0.843,0.848,0.829,0.844,0.82,0.857,0.818,0.858,0.863,0.837,Cystatin-D
CEACAM5,0.842,0.014,0.2897282386840899,0.838,0.85,0.832,0.844,0.822,0.858,0.822,0.861,0.862,0.834,Carcinoembryonic antigen-related cell adhesion molecule 5
KLK4,0.842,0.015,0.9278570437024248,0.839,0.848,0.834,0.844,0.821,0.859,0.82,0.859,0.863,0.835,Kallikrein-4
CDON,0.843,0.014,0.42790238277099,0.839,0.85,0.834,0.843,0.822,0.858,0.822,0.855,0.866,0.838,Cell adhesion molecule-related/down-regulated by oncogenes
CD276,0.843,0.014,0.5959159461785482,0.838,0.853,0.835,0.839,0.82,0.857,0.824,0.86,0.865,0.84,CD276 antigen
ACTA2,0.843,0.014,0.3750947644893566,0.841,0.854,0.836,0.84,0.818,0.858,0.823,0.856,0.862,0.839,"Actin, aortic smooth muscle"
CHI3L1,0.843,0.014,0.7370655143892867,0.841,0.854,0.834,0.84,0.818,0.861,0.824,0.856,0.859,0.839,Chitinase-3-like protein 1
CALB1,0.844,0.014,0.1981195814518109,0.839,0.856,0.835,0.84,0.822,0.861,0.823,0.858,0.863,0.839,Calbindin
TNFRSF1A,0.846,0.014,0.0011774562745356528,0.843,0.86,0.833,0.845,0.822,0.859,0.827,0.858,0.863,0.846,Tumor necrosis factor receptor superfamily member 1A
PSG1,0.846,0.014,0.4167315189908352,0.842,0.861,0.834,0.845,0.823,0.862,0.827,0.857,0.864,0.845,Pregnancy-specific beta-1-glycoprotein 1
WNT9A,0.845,0.014,0.05869711943526453,0.842,0.86,0.834,0.844,0.822,0.859,0.824,0.858,0.864,0.844,Protein Wnt-9a
LTBR,0.847,0.014,0.009835091884355737,0.845,0.862,0.835,0.845,0.823,0.861,0.826,0.858,0.864,0.847,Tumor necrosis factor receptor superfamily member 3
TNFRSF11B,0.846,0.015,0.21243681539938472,0.843,0.861,0.834,0.846,0.823,0.861,0.823,0.856,0.865,0.847,Tumor necrosis factor receptor superfamily member 11B
ITGAM,0.846,0.014,0.8063416352473657,0.843,0.863,0.833,0.845,0.824,0.861,0.826,0.855,0.864,0.845,Integrin alpha-M
IL1RL1,0.846,0.015,0.7558082311760622,0.846,0.862,0.833,0.842,0.823,0.863,0.824,0.855,0.865,0.844,Interleukin-1 receptor-like 1
CKAP4,0.846,0.014,0.6432474737281685,0.845,0.86,0.835,0.843,0.824,0.862,0.825,0.857,0.862,0.846,Cytoskeleton-associated protein 4
COL6A3,0.846,0.015,0.6319565561529844,0.842,0.862,0.834,0.842,0.823,0.863,0.825,0.859,0.865,0.847,Collagen alpha-3(VI) chain
LRRN1,0.846,0.014,0.9278228867082433,0.842,0.861,0.835,0.844,0.826,0.864,0.826,0.857,0.862,0.845,Leucine-rich repeat neuronal protein 1
MMP7,0.846,0.014,0.2590368097701544,0.843,0.861,0.836,0.841,0.824,0.862,0.824,0.859,0.863,0.843,Matrilysin
MMP3,0.846,0.014,0.1801225349749186,0.845,0.858,0.837,0.843,0.824,0.864,0.825,0.858,0.863,0.847,Stromelysin-1
