Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
GFAP,0.716,0.024,5.9452845075162276e-288,0.736,0.723,0.685,0.739,0.672,0.726,0.692,0.712,0.729,0.747,Glial fibrillary acidic protein
NEFL,0.778,0.023,7.286548676213855e-29,0.796,0.795,0.746,0.782,0.734,0.811,0.761,0.786,0.788,0.785,Neurofilament light polypeptide
GDF15,0.803,0.015,8.661861521218933e-12,0.811,0.818,0.775,0.797,0.782,0.818,0.794,0.815,0.819,0.798,Growth/differentiation factor 15
EDA2R,0.806,0.013,0.042258387410081616,0.81,0.819,0.784,0.802,0.79,0.825,0.797,0.816,0.817,0.801,Tumor necrosis factor receptor superfamily member 27
BCAN,0.824,0.014,8.326466554521469e-13,0.826,0.834,0.803,0.821,0.801,0.844,0.813,0.833,0.838,0.828,Brevican core protein
LTBP2,0.827,0.013,0.007658214004500077,0.823,0.839,0.807,0.824,0.809,0.844,0.82,0.837,0.845,0.823,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.832,0.014,0.0001549391806466432,0.836,0.844,0.81,0.831,0.816,0.848,0.818,0.841,0.852,0.826,Neuronal pentraxin receptor
EGFR,0.834,0.016,0.13970354131883425,0.835,0.844,0.815,0.833,0.812,0.851,0.814,0.847,0.859,0.828,Epidermal growth factor receptor
HPGDS,0.836,0.016,0.03556658173807144,0.836,0.845,0.82,0.833,0.814,0.855,0.814,0.848,0.861,0.831,Hematopoietic prostaglandin D synthase
CEACAM5,0.837,0.015,0.18906191219580634,0.832,0.848,0.824,0.839,0.813,0.854,0.818,0.852,0.858,0.831,Carcinoembryonic antigen-related cell adhesion molecule 5
CDON,0.837,0.015,0.43417411329573163,0.832,0.849,0.824,0.835,0.813,0.854,0.82,0.852,0.859,0.836,Cell adhesion molecule-related/down-regulated by oncogenes
CST5,0.839,0.014,0.07943201029041767,0.837,0.847,0.827,0.84,0.812,0.851,0.824,0.853,0.861,0.836,Cystatin-D
KLK4,0.839,0.013,0.4512368957440863,0.837,0.847,0.829,0.838,0.816,0.854,0.824,0.85,0.861,0.837,Kallikrein-4
ACTA2,0.838,0.013,0.08122761491466983,0.839,0.847,0.832,0.836,0.814,0.854,0.823,0.849,0.856,0.833,"Actin, aortic smooth muscle"
WNT9A,0.839,0.013,0.39373982886018993,0.841,0.846,0.832,0.837,0.812,0.853,0.825,0.849,0.857,0.836,Protein Wnt-9a
CD276,0.84,0.013,0.12295868055272174,0.843,0.848,0.834,0.836,0.813,0.855,0.825,0.85,0.855,0.838,CD276 antigen
CHI3L1,0.839,0.014,0.48960151591877443,0.842,0.85,0.833,0.833,0.811,0.854,0.824,0.852,0.855,0.839,Chitinase-3-like protein 1
CALB1,0.84,0.013,0.07691399076370119,0.842,0.848,0.834,0.837,0.815,0.859,0.824,0.85,0.856,0.84,Calbindin
PSG1,0.839,0.013,0.0783607696710022,0.842,0.849,0.832,0.836,0.813,0.856,0.822,0.85,0.855,0.84,Pregnancy-specific beta-1-glycoprotein 1
IL1RL1,0.841,0.014,0.07710311892104738,0.843,0.851,0.832,0.835,0.815,0.858,0.824,0.851,0.857,0.841,Interleukin-1 receptor-like 1
COL6A3,0.841,0.013,0.2956010507204642,0.843,0.851,0.832,0.834,0.817,0.863,0.826,0.848,0.855,0.844,Collagen alpha-3(VI) chain
LRRN1,0.841,0.013,0.9528284985279273,0.843,0.853,0.832,0.836,0.816,0.858,0.825,0.847,0.855,0.846,Leucine-rich repeat neuronal protein 1
TNFRSF11B,0.841,0.013,0.4470349519237707,0.841,0.849,0.833,0.835,0.816,0.86,0.825,0.85,0.855,0.844,Tumor necrosis factor receptor superfamily member 11B
GFRA1,0.841,0.013,0.1768576691251311,0.841,0.851,0.833,0.836,0.819,0.86,0.826,0.848,0.857,0.844,GDNF family receptor alpha-1
ITGAM,0.841,0.013,0.3154989866249839,0.841,0.851,0.834,0.833,0.819,0.859,0.822,0.849,0.856,0.844,Integrin alpha-M
PVR,0.84,0.013,0.10143381082204282,0.842,0.851,0.829,0.836,0.817,0.858,0.824,0.848,0.853,0.842,Poliovirus receptor
EPHA2,0.84,0.012,0.522463233105494,0.84,0.85,0.83,0.833,0.82,0.859,0.826,0.849,0.853,0.843,Ephrin type-A receptor 2
IGFBP2,0.842,0.012,0.0315864634698685,0.845,0.849,0.831,0.836,0.821,0.859,0.826,0.852,0.853,0.845,Insulin-like growth factor-binding protein 2
ITGAV,0.842,0.012,0.5380352221718696,0.845,0.852,0.835,0.835,0.818,0.858,0.826,0.852,0.854,0.843,Integrin alpha-V
CD59,0.842,0.013,0.497098216765562,0.845,0.856,0.833,0.835,0.819,0.857,0.826,0.851,0.856,0.844,CD59 glycoprotein
