Pro_code,Pro_definition,HR,HR_Lower_CI,HR_Upper_CI,HR_p_val,p_val_fdr,p_val_bfi
AARSD1,Alanyl-tRNA editing protein Aarsd1,0.9760788786545426,1.4887167850432346,2.1128847242333166,0.39736586857698075,0.6103785535045079,1.0
ABHD14B,Protein ABHD14B,0.9551443393926695,1.573317965174284,2.2354505408966325,0.11327371454655442,0.2917285398700396,1.0
ABL1,Tyrosine-protein kinase ABL1,0.9787774839437154,1.4945819628542398,2.1221763368654023,0.46183766913818314,0.6696417343401011,1.0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.9541770478613565,1.5407980191463262,2.1900901544999893,0.11229380028612873,0.29087684261385216,1.0
ACAN,Aggrecan core protein,1.056468523419656,1.5849621909829361,2.2550462969992813,0.08163062480373522,0.24623835894405074,1.0
ACE2,Angiotensin-converting enzyme 2,1.086113888144197,1.5048649228491437,2.138170093252661,0.008980314867057247,0.051378096168140354,1.0
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.9993983322532939,1.5469794036568985,2.1922625888993053,0.9829034576889403,0.9885179146592155,1.0
ACP5,Tartrate-resistant acid phosphatase type 5,1.04594633613453,1.5084133278144287,2.1427472452298884,0.13765490968647176,0.3264005394996891,1.0
ACP6,Lysophosphatidic acid phosphatase type 6,1.002758203263504,1.5524441882988989,2.194337666046175,0.9205682547935021,0.9633700692152315,1.0
ACTA2,"Actin, aortic smooth muscle",1.1896952175675537,1.5480490921063763,2.1979889627199953,5.3459541003577284e-08,3.258804520343065e-06,7.821130848823356e-05
ACTN4,Alpha-actinin-4,1.0307491696371143,1.5225495053490306,2.1687055255923133,0.28816593964284565,0.5085485762333934,1.0
ACVRL1,Serine/threonine-protein kinase receptor R3,1.1403424771599109,1.538890271011665,2.1855274369957587,1.7574848263921075e-05,0.0004761482038910469,0.025712003010116533
ACY1,Aminoacylase-1,0.8761327887383821,1.6290701241332395,2.314551156925682,5.368318658573258e-05,0.0012667500318536576,0.07853850197492677
ADA,Adenosine deaminase,0.9525717243071712,1.5308215429026466,2.1710228411127144,0.09100492745688606,0.26105923307730255,1.0
ADA2,Adenosine deaminase 2,1.101240147751994,1.529246950981056,2.170239469802028,0.0011446723265575347,0.011299475455500868,1.0
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1.0759408475496162,1.5359089656818914,2.1791197951569297,0.01006083154137965,0.05602687490945579,1.0
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,0.9920958401241872,1.5612132213968435,2.2143851148228797,0.7793519883264146,0.8845554374876219,1.0
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,0.9859197935607624,1.50912266220518,2.1393264380287405,0.6119695377342177,0.771820201469966,1.0
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,1.1204982095524458,1.5384277849585537,2.177583560620475,8.785343058242169e-05,0.0018361366991726132,0.12852956894208292
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,1.005709534999819,1.5370335364951588,2.1727005647393587,0.8381519018598396,0.9185140317759889,1.0
ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,1.044520021710056,1.4951464603753437,2.124203769620754,0.1745551368752752,0.37664465080829657,1.0
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,1.0412503135381816,1.5464536511019902,2.1979792170918993,0.19189204745907396,0.3943076916212539,1.0
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,0.8845428139476061,1.5110692357555944,2.144794269004467,2.0712747648692686e-05,0.0005509590874552255,0.0303027498100374
ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,0.9455708995964456,1.5182899212805228,2.160843453879809,0.05185197232276221,0.18148190312966775,1.0
ADGRB3,Adhesion G protein-coupled receptor B3,1.0450431443195236,1.5483856295924814,2.1969066599021922,0.11828392699920436,0.29604779690903077,1.0
ADGRE2,Adhesion G protein-coupled receptor E2,0.9988312553344756,1.527677233420367,2.1633713825736893,0.9685265691474569,0.9853068190738465,1.0
ADGRE5,Adhesion G protein-coupled receptor E5,0.9995072174472862,1.5232472326127464,2.158439493556953,0.9866465018099586,0.9913899946071218,1.0
ADGRG1,Adhesion G-protein coupled receptor G1,1.1023491455716405,1.3878409402911212,1.9872010904686899,0.0006673786788227913,0.007323826801315344,0.9763750071177437
ADGRG2,Adhesion G-protein coupled receptor G2,0.8908796043796522,1.4984003829092365,2.1273854342688048,0.00044090660158920686,0.005244279334349672,0.6450463581250097
ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,0.9072708327675273,1.5555611292627312,2.2080230812469965,0.0027098016743089567,0.021545868747358716,1.0
ADM,Pro-adrenomedullin,1.2125549680181755,1.544859575322953,2.188607768312892,6.674900005779787e-08,3.6168069290577146e-06,9.765378708455829e-05
AFP,Alpha-fetoprotein,0.9270050327603915,1.5189925889819271,2.158694035041512,0.01110238120828676,0.05971611657251298,1.0
AGER,Advanced glycosylation end product-specific receptor,0.9321566982391992,1.495518037714394,2.1256654678861002,0.014350891237822657,0.0744516095068601,1.0
AGR2,Anterior gradient protein 2 homolog,1.096819376078571,1.5354488486207543,2.1949479230210485,0.0017579574236929562,0.015493323559414428,1.0
AGR3,Anterior gradient protein 3,1.0229411004290458,1.5118335426536327,2.1534021043824363,0.43601145447260015,0.6456323460459656,1.0
AGRN,Agrin,1.0486045714190229,1.4949396030980722,2.121218098396942,0.11345304636870118,0.2917285398700396,1.0
AGRP,Agouti-related protein,1.0485496827311873,1.5028550146533535,2.1299236323107817,0.11617466524428642,0.2950755820354011,1.0
AGXT,Serine--pyruvate aminotransferase,0.9669776209384697,1.5680203593941167,2.2228636884479345,0.25841812902173456,0.47735571055403747,1.0
AHCY,Adenosylhomocysteinase,0.9732718636959113,1.5577836979659423,2.205880897760119,0.34379025814279407,0.5569935190065424,1.0
AHSP,Alpha-hemoglobin-stabilizing protein,0.9828195132775523,1.5167149321278652,2.151798338547456,0.5541585506094369,0.7370308723105511,1.0
AIF1,Allograft inflammatory factor 1,0.9865073544050469,1.5302741447523514,2.173161461783331,0.6369647209102948,0.7897643827669844,1.0
AIFM1,"Apoptosis-inducing factor 1, mitochondrial",0.9997306773946885,1.4960107162485206,2.124158859024688,0.9925512222522399,0.9959550330281391,1.0
AK1,Adenylate kinase isoenzyme 1,0.9992805680955867,1.5558429576686652,2.20323690010774,0.9798901387054291,0.9879166361798802,1.0
AKR1B1,Aldo-keto reductase family 1 member B1,0.9934993847850245,1.5203573350569388,2.162347463405564,0.820976302390393,0.9107445490591072,1.0
AKR1C4,Aldo-keto reductase family 1 member C4,1.0082270488236615,1.5357667141208577,2.1824424375701716,0.7705124382980618,0.8799841508431416,1.0
AKT1S1,Proline-rich AKT1 substrate 1,0.9672432239242131,1.56433080821373,2.2280318260287952,0.2482704981023674,0.46507008799457555,1.0
AKT3,RAC-gamma serine/threonine-protein kinase,0.9475829901997564,1.5393995997126488,2.186946840660132,0.06233457050943955,0.2047120443665928,1.0
ALCAM,CD166 antigen,1.054507425133261,1.521011223992844,2.1513221056454843,0.07901824583594079,0.24066586685616137,1.0
ALDH1A1,Retinal dehydrogenase 1,0.960646999129684,1.548905406196139,2.195374661977299,0.17943024708119415,0.3821054606692679,1.0
ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",0.9703490059327622,1.546096223539948,2.1983527735233928,0.31657957978769774,0.5374689388288648,1.0
ALPP,"Alkaline phosphatase, placental type",0.9878528106646826,1.5088340244338696,2.141998756088414,0.7030028795352328,0.8370911517164552,1.0
AMBN,Ameloblastin,1.0084298481842102,1.5288635091301617,2.179016469048442,0.7666699681193454,0.87765114503803,1.0
AMBP,Protein AMBP,1.0745864999316248,1.521061969828236,2.151631498253512,0.017238187190754612,0.08636804061669177,1.0
AMFR,E3 ubiquitin-protein ligase AMFR,0.9868864952759977,1.5580610208999635,2.218838010108441,0.6517085813190501,0.8018920559039279,1.0
AMIGO2,Amphoterin-induced protein 2,1.010160119767246,1.4903425509870567,2.1163139083818994,0.7211926772794008,0.8508910377901318,1.0
AMN,Protein amnionless,1.004062479739587,1.5352578822520488,2.184038394296279,0.8882306596827535,0.9425364020763624,1.0
AMY2A,Pancreatic alpha-amylase,0.9285196625647869,1.5206239008299962,2.171162318242693,0.009235239118306555,0.0525725868874805,1.0
AMY2B,Alpha-amylase 2B,0.9184401282617938,1.5192696184404035,2.1808633087119373,0.00320182153300547,0.024270802605114,1.0
ANG,Angiogenin,1.0381382810473136,1.585972789005046,2.2459138087946067,0.20986750508425125,0.41212907374263036,1.0
ANGPT1,Angiopoietin-1,0.9553546823033129,1.550271905384216,2.1958581106643167,0.10262357319642375,0.27700791067595565,1.0
ANGPT2,Angiopoietin-2,1.1004155832037932,1.5212593735813233,2.1529293836116365,0.0015886516230038954,0.014346897064535178,1.0
ANGPTL1,Angiopoietin-related protein 1,1.1000930421577764,1.5339683538360949,2.1779838916446495,0.0012658115779992961,0.012076059679662915,1.0
ANGPTL2,Angiopoietin-related protein 2,0.9928939222382706,1.5077602729265984,2.1398083815424713,0.814581785506336,0.9072489491915371,1.0
ANGPTL3,Angiopoietin-related protein 3,1.0824838746763277,1.600531419400902,2.268953950377218,0.013679669395265692,0.07147627259026323,1.0
