Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.744,0.028,1.431140657e-314,0.742,0.772,0.714,0.748,0.69,0.783,0.736,0.775,0.756,0.721,Neurofilament light polypeptide
GFAP,0.775,0.03,2.7555611908459972e-15,0.784,0.808,0.735,0.781,0.719,0.813,0.747,0.804,0.78,0.782,Glial fibrillary acidic protein
GDF15,0.799,0.023,2.0683753834916468e-09,0.791,0.821,0.761,0.806,0.76,0.81,0.786,0.823,0.813,0.821,Growth/differentiation factor 15
BCAN,0.822,0.021,1.8131355303506878e-14,0.816,0.837,0.792,0.824,0.781,0.844,0.808,0.84,0.846,0.834,Brevican core protein
LTBP2,0.827,0.021,0.0006350272450384066,0.817,0.846,0.799,0.83,0.79,0.849,0.812,0.842,0.852,0.834,Latent-transforming growth factor beta-binding protein 2
NPTXR,0.833,0.019,2.30358755890436e-06,0.826,0.85,0.808,0.836,0.801,0.851,0.818,0.847,0.861,0.834,Neuronal pentraxin receptor
EDA2R,0.833,0.019,0.9684653424273401,0.826,0.852,0.814,0.838,0.801,0.853,0.812,0.845,0.858,0.835,Tumor necrosis factor receptor superfamily member 27
NTproBNP,0.835,0.019,0.13724497300303407,0.825,0.85,0.817,0.84,0.8,0.855,0.814,0.852,0.862,0.834,N-terminal prohormone of brain natriuretic peptide
HPGDS,0.837,0.018,0.030884646840010833,0.828,0.851,0.822,0.836,0.806,0.857,0.815,0.854,0.865,0.837,Hematopoietic prostaglandin D synthase
EGFR,0.837,0.02,0.6987002587773304,0.829,0.848,0.822,0.841,0.803,0.857,0.811,0.859,0.865,0.839,Epidermal growth factor receptor
CEACAM5,0.838,0.021,0.16963740003271838,0.822,0.853,0.826,0.841,0.804,0.858,0.813,0.863,0.866,0.838,Carcinoembryonic antigen-related cell adhesion molecule 5
CST5,0.84,0.02,0.11979750887459426,0.827,0.851,0.832,0.843,0.802,0.859,0.817,0.865,0.866,0.84,Cystatin-D
CD276,0.841,0.02,0.03690765096312751,0.829,0.852,0.834,0.841,0.803,0.86,0.819,0.87,0.867,0.839,CD276 antigen
ACTA2,0.841,0.02,0.5660401880867777,0.829,0.854,0.836,0.842,0.803,0.861,0.818,0.868,0.86,0.838,"Actin, aortic smooth muscle"
CALB1,0.842,0.02,0.11291519249478937,0.828,0.854,0.835,0.841,0.803,0.862,0.82,0.871,0.862,0.843,Calbindin
TNFRSF1A,0.844,0.02,0.02055994433636581,0.827,0.862,0.833,0.843,0.807,0.863,0.825,0.871,0.863,0.846,Tumor necrosis factor receptor superfamily member 1A
PSG1,0.845,0.019,0.4995734921863627,0.833,0.861,0.833,0.844,0.807,0.864,0.825,0.869,0.864,0.846,Pregnancy-specific beta-1-glycoprotein 1
CNTN5,0.844,0.02,0.734816981002999,0.826,0.859,0.834,0.846,0.808,0.867,0.824,0.865,0.866,0.847,Contactin-5
KLK4,0.844,0.02,0.6192720760826931,0.826,0.86,0.832,0.844,0.809,0.866,0.825,0.868,0.866,0.848,Kallikrein-4
CHI3L1,0.845,0.02,0.20410551348952802,0.828,0.863,0.834,0.845,0.808,0.867,0.824,0.866,0.87,0.849,Chitinase-3-like protein 1
LTBR,0.845,0.019,0.999269041956048,0.83,0.862,0.832,0.844,0.814,0.866,0.822,0.869,0.868,0.847,Tumor necrosis factor receptor superfamily member 3
TNFRSF11B,0.845,0.02,0.8565386335435582,0.827,0.864,0.834,0.846,0.81,0.866,0.822,0.867,0.868,0.849,Tumor necrosis factor receptor superfamily member 11B
DPP4,0.845,0.02,0.21322242681101505,0.827,0.862,0.833,0.846,0.81,0.868,0.82,0.865,0.868,0.847,Dipeptidyl peptidase 4
REG3A,0.844,0.019,0.5798792584403155,0.828,0.86,0.834,0.844,0.812,0.867,0.821,0.863,0.866,0.848,Regenerating islet-derived protein 3-alpha
LRRN1,0.844,0.019,0.9696951040619954,0.827,0.86,0.836,0.846,0.811,0.869,0.821,0.863,0.863,0.847,Leucine-rich repeat neuronal protein 1
EBI3_IL27,0.844,0.019,0.6606691908710021,0.829,0.861,0.834,0.844,0.812,0.866,0.819,0.864,0.863,0.848,Interleukin-27
OMG,0.844,0.019,0.6680314359495987,0.827,0.86,0.835,0.843,0.813,0.869,0.819,0.865,0.862,0.849,Oligodendrocyte-myelin glycoprotein
WNT9A,0.844,0.019,0.8814998556571859,0.83,0.861,0.836,0.845,0.809,0.867,0.818,0.865,0.861,0.85,Protein Wnt-9a
GFRA1,0.844,0.019,0.7725144350816038,0.828,0.863,0.835,0.845,0.812,0.866,0.818,0.864,0.864,0.85,GDNF family receptor alpha-1
PLAUR,0.844,0.018,0.3641322575778019,0.829,0.861,0.836,0.844,0.813,0.865,0.818,0.864,0.862,0.847,Urokinase plasminogen activator surface receptor
